link,fighter_1,fighter_2,method,round,time,weight_class
http://www.ufcstats.com/fight-details/c9cef59a5de32219,Cody Gibson,Chad Anheliger,U-DEC,3,5:00,Bantamweight
http://www.ufcstats.com/fight-details/f0723cda67db3954,Jamey-Lyn Horth,Ivana Petrovic,S-DEC,3,5:00,Women's Flyweight
http://www.ufcstats.com/fight-details/ebf7cea27b83c432,Ilia Topuria,Max Holloway,KO/TKO,3,1:34,Featherweight
http://www.ufcstats.com/fight-details/b8bf186f884678ea,Khamzat Chimaev,Robert Whittaker,SUB,1,3:34,Middleweight
http://www.ufcstats.com/fight-details/b09f54654b0f95f5,Magomed Ankalaev,Aleksandar Rakic,U-DEC,3,5:00,Light Heavyweight
http://www.ufcstats.com/fight-details/cc11a0762f246fa4,Lerone Murphy,Dan Ige,U-DEC,3,5:00,Featherweight
http://www.ufcstats.com/fight-details/108434acbbd75d26,Shara Magomedov,Armen Petrosyan,KO/TKO,2,4:52,Middleweight
http://www.ufcstats.com/fight-details/781a2ea50f5ae68f,Ibo Aslan,Rafael Cerqueira,KO/TKO,1,0:51,Light Heavyweight
http://www.ufcstats.com/fight-details/1d65c141776949d6,Geoff Neal,Rafael Dos Anjos,KO/TKO,1,1:30,Welterweight
http://www.ufcstats.com/fight-details/919e3c5cc6999cb3,Mateusz Rebecki,Myktybek Orolbai,S-DEC,3,5:00,Catch Weight
http://www.ufcstats.com/fight-details/af6eeea1cfe33240,Abus Magomedov,Brunno Ferreira,SUB,3,3:14,Middleweight
http://www.ufcstats.com/fight-details/df7928de73fc2fe8,Kennedy Nzechukwu,Chris Barnett,KO/TKO,1,4:27,Heavyweight
http://www.ufcstats.com/fight-details/5c783cd188425783,Farid Basharat,Victor Hugo,U-DEC,3,5:00,Featherweight
http://www.ufcstats.com/fight-details/bde635a4f345bc3e,Ismail Naurdiev,Bruno Silva,U-DEC,3,5:00,Middleweight
http://www.ufcstats.com/fight-details/6114076c689e8457,Rinat Fakhretdinov,Carlos Leal,U-DEC,3,5:00,Welterweight
http://www.ufcstats.com/fight-details/a2f2c64f9fb3fb1c,Anthony Hernandez,Michel Pereira,KO/TKO,5,2:22,Middleweight
http://www.ufcstats.com/fight-details/f01b97e864cb4b8b,Rob Font,Kyler Phillips,U-DEC,3,5:00,Bantamweight
